S. No.,Wine,Vintage,Varietal,Type,Country,Region,User Rating,Body,Price,Sweetness,Morrisons'
175,"Tapanappa Wines, Wrattonbully Cabernet Shiraz, South Australia",2007,Cabernet-Shiraz/Syrah Blend,Red,Australia,South Australia,90,C,31,2,N
176,"Valpolicella Classico Superiore, 'I Cantoni', Novaia, Marano, Veneto",2007,Corvina Blend,Red,Italy,Veneto,89,D,17.95,2,N
177,"Banyuls, Cuvée Joseph Géraud, Domaine Piétri-Géraud",2003,Grenache/Garnacha,Red,France,Languedoc-Roussillon,94,E,21.45,6,N
178,"Clos La Coutale, Cahors",2009,Malbec,Red,France,South West France,88,D,8.95,2,N
179,"Finca Flichman, Caballero de la Cepa Malbec, Mendoza",2011,Malbec,Red,Argentina,Mendoza,89,D,9.95,2,N
180,"Domaine Belot, Merlot, Vin de Pays d'Oc",2010,Merlot,Red,France,Vin de Pays,88,C,7.95,2,N
181,"Ch. Moulin St. Georges, St Emilion",2008,Merlot Blend,Red,France,Bordeaux,92,D,35,2,N
182,"Laderas de El Seque, Artadi, Alicante",2010,Mourvedre,Red,Spain,Alicante,87,D,9.95,2,N
183,"Langhe Nebbiolo, Coste, Ferdinando Principiano",2010,Nebbiolo,Red,Italy,Piedmont,86,D,16.75,2,N
184,"Vista Hermosa, Pinot Noir, Casablanca Valley",2010,Pinot Noir,Red,Chile,Casablanca Valley,84,B,10.45,2,N
185,"Toolangi Vineyards, Estate Pinot Noir, Victoria, Australia",2006,Pinot Noir,Red,Australia,Victoria,91,C,23.95,2,N
188,"Signatures of Doolhof, Pinotage Doolhof Estate, Wellington, SA",2008,Pinotage,Red,South Africa,Cape Valley,92,D,14.5,2,N
187,"Vendimia, Rioja, Palacios Remondo",2011,Tempranillo/Tinto Fino/Tinta Roriz,Red,Spain,Rioja,85,C,11.25,2,N
188,"Berrys' Chianti, Badia a Coltibuono, Tuscany",2010,Sangiovese,Red,Italy,Tuscany,90,B,10.95,2,N
189,"Jordan Estate, Bradgate Syrah, Stellenbosch, South Africa",20100,Shiraz/Syrah,Red,South Africa,Stellenbosch,84,C,9.95,2,N
190,"Tapanappa Wines, Wrattonbully Cabernet Shiraz, South Australia",2007,Shiraz/Syrah-Cabernet Sauvignon Blend,Red,Australia,South Australia,92,C,31,2,N
191,"Passagem Reserva Red, Quinta das Bandeiras, Douro Superior",2007,Touriga National/Franca,Red,Portugal,Douro,90,E,19.95,2,N
192,"Ch. Moulin Riche, St Julien",2011,Cabernet Sauvignon Blend,Red,France,Bordeaux,83,D,7,2,N
193,"Carignan, Vin De Pays du Mont Baudille, Domaine Familongue",2009,Red Rhone Blend,Red,France,Vin de Pays,86,C,8.95,2,N
194,"Beaujolais Villages, Le Tracot, Domaine Dubost",2010,Gamay,Red,France,Beaujolais,86.5,C,10.5,2,N
195,"Juliénas, Les Paquelets, Vieilles Vignes, Domaine Eve & Michel Rey",2007,Gamay,Red,France,Burgundy,89,D,14.5,2,N
196,"2/3 Trio Infernal Combier-Fischer-Gerin, Priorat",2006,Carignan,Red,Spain,Catalunya,91,D,65,2,N
197,"Mas Conscience, Le Cas, Vin De Pays de l'Herault",2008,Carignan,Red,France,Vin de Pays,88,D,13.25,2,N
198,"Aglianico del Vulture, Serra del Prete, Basilicata, Carmelitano",2009,Aglianico,Red,Italy,Basilicata,88.5,D,15.95,2,N
199,"Taurasi 'Poliphemo', Luigi Tecce, Paternopoli, Campania",2007,Aglianico,Red,Italy,Campania,89,E,32.95,2,N
